,Item Number,Product Title,cat,Level,reco1,title1,reco2,title2,reco3,title3,reco4,title4,reco5,title5
0,10528404,"Wypall® X70 White Medium Duty Cloth (14.875 in. x 16.625 in., 300 Cloths/CS)",Wipers_Chemical Wipers,,Skincare_Dispensers,,Janitorial Supplies_Mops / Squeegees_Handles / Frames / Accessories,,Can Liners_Paper,,Food Service_Cups / Lids_Paper,,Can Liners_High Density,
1,10477982,"Oxivir® TB White Disinfect Deodor Wipes (6 in. x 7 in., 160-Piece)",Wipers_Chemical Wipers,,Skincare_Dispensers,,Janitorial Supplies_Mops / Squeegees_Handles / Frames / Accessories,,Can Liners_Paper,,Food Service_Cups / Lids_Paper,,Can Liners_High Density,
2,10528405,"Wypall® White Wypall® X70 Hydroknit Wiper with Powder (12.5 in. x 13 in., 76 Wipers/PK, 912 Wipers/CS)",Wipers_Chemical Wipers,,Skincare_Dispensers,,Janitorial Supplies_Mops / Squeegees_Handles / Frames / Accessories,,Can Liners_Paper,,Food Service_Cups / Lids_Paper,,Can Liners_High Density,
3,10477987,"Oxivir® Clear Five Disinfectant Cleaner (1 gal., 4-Piece)",Wipers_Chemical Wipers,,Skincare_Dispensers,,Janitorial Supplies_Mops / Squeegees_Handles / Frames / Accessories,,Can Liners_Paper,,Food Service_Cups / Lids_Paper,,Can Liners_High Density,
4,10477991,"Oxivir® Clear Five Disinfectant Cleaner (84.5 oz., 2-Piece)",Wipers_Chemical Wipers,,Skincare_Dispensers,,Janitorial Supplies_Mops / Squeegees_Handles / Frames / Accessories,,Can Liners_Paper,,Food Service_Cups / Lids_Paper,,Can Liners_High Density,
5,10917882,"Clorox Healthcare® White Total 360 Disinfectant Cleaner (128 oz., 1-Piece)",Wipers_Chemical Wipers,,Skincare_Dispensers,,Janitorial Supplies_Mops / Squeegees_Handles / Frames / Accessories,,Can Liners_Paper,,Food Service_Cups / Lids_Paper,,Can Liners_High Density,
6,10477994,Oxivir® Clear Five Disinfectant Cleaner (51 oz.),Wipers_Chemical Wipers,,Skincare_Dispensers,,Janitorial Supplies_Mops / Squeegees_Handles / Frames / Accessories,,Can Liners_Paper,,Food Service_Cups / Lids_Paper,,Can Liners_High Density,
7,10528411,"Wypall® X70 White Medium Duty Cloth (8.34 in. x 16.8 in., 1000 Cloths/CS)",Wipers_Chemical Wipers,Product,10510098,"Wypall® X70 White Medium Duty Cloth (12.5 in. x 13.4 in., 870 Cloths/CS)",,,,,,,,
8,10801177,"Ecolab® Clear QC-77 Bio-Enzymatic Odor Eliminator (44 oz., 1-Piece)",Wipers_Chemical Wipers,,Skincare_Dispensers,,Janitorial Supplies_Mops / Squeegees_Handles / Frames / Accessories,,Can Liners_Paper,,Food Service_Cups / Lids_Paper,,Can Liners_High Density,
9,10069614,"Clorox Healthcare® White Formula 409 Degreaser Disinfectant Cleaner (32 oz., 12-Piece)",Wipers_Chemical Wipers,,Skincare_Dispensers,,Janitorial Supplies_Mops / Squeegees_Handles / Frames / Accessories,,Can Liners_Paper,,Food Service_Cups / Lids_Paper,,Can Liners_High Density,
