,Unnamed: 0,Item Number,Product Title,Category,Level,reco5,title5,reco4,title4,reco3,title3,reco2,title2,reco1,title1
0,0,10528404,"Wypall® X70 White Medium Duty Cloth (14.875 in. x 16.625 in., 300 Cloths/CS)",Wipers-Paper / Nonwoven-MISSING,,Bags-Bags Plastic-Individual Lay Flat,,Films-Stretch Films-Stretch Banding,,Personal Protection and Safety-Gloves-Nitrile,,"Towels, Tissues-Toilet Tissue-Standard Roll",,Uncoated Freesheet-Imaging-Cut / Digital,
1,1,10477982,"Oxivir® TB White Disinfect Deodor Wipes (6 in. x 7 in., 160-Piece)",Wipers-Chemical Wipers-MISSING,,Can Liners-High Density-MISSING,,Can Liners-Paper-MISSING,,Food Service-Cups / Lids-Paper,,Janitorial Supplies-Mops / Squeegees-Handles / Frames / Accessories,,Skincare-Sanitizers / Sanitizing Wipes-MISSING,
2,2,10528405,"Wypall® White Wypall® X70 Hydroknit Wiper with Powder (12.5 in. x 13 in., 76 Wipers/PK, 912 Wipers/CS)",Wipers-Paper / Nonwoven-MISSING,,Bags-Bags Plastic-Individual Lay Flat,,Films-Stretch Films-Stretch Banding,,Personal Protection and Safety-Gloves-Nitrile,,"Towels, Tissues-Toilet Tissue-Standard Roll",,Uncoated Freesheet-Imaging-Cut / Digital,
3,3,10477987,"Oxivir® Clear Five Disinfectant Cleaner (1 gal., 4-Piece)",Chemicals-Cleaners-MISSING,,Can Liners-High Density-MISSING,,Can Liners-Low Density-MISSING,,Chemicals-Hard Floor Care-MISSING,,"Towels, Tissues-Toilet Tissue-Standard Roll",,"Chemicals-Air Care / Odor Control (Deodorizers, Neutralizers)-MISSING",
4,4,10477991,"Oxivir® Clear Five Disinfectant Cleaner (84.5 oz., 2-Piece)",Chemicals-Cleaners-MISSING,,Can Liners-High Density-MISSING,,Can Liners-Low Density-MISSING,,Chemicals-Hard Floor Care-MISSING,,"Towels, Tissues-Toilet Tissue-Standard Roll",,"Chemicals-Air Care / Odor Control (Deodorizers, Neutralizers)-MISSING",
5,5,10917882,"Clorox Healthcare® White Total 360 Disinfectant Cleaner (128 oz., 1-Piece)",Chemicals-Cleaners-MISSING,,Can Liners-High Density-MISSING,,Can Liners-Low Density-MISSING,,Chemicals-Hard Floor Care-MISSING,,"Towels, Tissues-Toilet Tissue-Standard Roll",,"Chemicals-Air Care / Odor Control (Deodorizers, Neutralizers)-MISSING",
6,6,10477994,Oxivir® Clear Five Disinfectant Cleaner (51 oz.),Chemicals-Cleaners-MISSING,,Can Liners-High Density-MISSING,,Can Liners-Low Density-MISSING,,Chemicals-Hard Floor Care-MISSING,,"Towels, Tissues-Toilet Tissue-Standard Roll",,"Chemicals-Air Care / Odor Control (Deodorizers, Neutralizers)-MISSING",
7,7,10528411,"Wypall® X70 White Medium Duty Cloth (8.34 in. x 16.8 in., 1000 Cloths/CS)",Wipers-Paper / Nonwoven-MISSING,Product,,,,,,,,,10510098,"Wypall® X70 White Medium Duty Cloth (12.5 in. x 13.4 in., 870 Cloths/CS)"
8,8,10801177,"Ecolab® Clear QC-77 Bio-Enzymatic Odor Eliminator (44 oz., 1-Piece)","Chemicals-Air Care / Odor Control (Deodorizers, Neutralizers)-MISSING",,Can Liners-High Density-MISSING,,"Towels, Tissues-Towels-Hard Wound Roll",,Food Service-Napkins-Dispensable,,Can Liners-Low Density Repro-MISSING,,Chemicals-Cleaners-MISSING,
9,9,10069614,"Clorox Healthcare® White Formula 409 Degreaser Disinfectant Cleaner (32 oz., 12-Piece)",Chemicals-Cleaners-MISSING,,Can Liners-High Density-MISSING,,Can Liners-Low Density-MISSING,,Chemicals-Hard Floor Care-MISSING,,"Towels, Tissues-Toilet Tissue-Standard Roll",,"Chemicals-Air Care / Odor Control (Deodorizers, Neutralizers)-MISSING",
