,Unnamed: 0,Item Number,Product Title,cat,Level,reco1,title1,reco2,title2,reco3,title3,reco4,title4,reco5,title5,reco_cat,item_cde
0,0,10528404,"Wypall® X70 White Medium Duty Cloth (14.875 in. x 16.625 in., 300 Cloths/CS)",Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
1,1,10477982,"Oxivir® TB White Disinfect Deodor Wipes (6 in. x 7 in., 160-Piece)",Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
2,2,10528405,"Wypall® White Wypall® X70 Hydroknit Wiper with Powder (12.5 in. x 13 in., 76 Wipers/PK, 912 Wipers/CS)",Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
3,3,10477987,"Oxivir® Clear Five Disinfectant Cleaner (1 gal., 4-Piece)",Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
4,4,10477991,"Oxivir® Clear Five Disinfectant Cleaner (84.5 oz., 2-Piece)",Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
5,5,10917882,"Clorox Healthcare® White Total 360 Disinfectant Cleaner (128 oz., 1-Piece)",Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
6,6,10477994,Oxivir® Clear Five Disinfectant Cleaner (51 oz.),Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
7,7,10528411,"Wypall® X70 White Medium Duty Cloth (8.34 in. x 16.8 in., 1000 Cloths/CS)",Wipers_Chemical Wipers,Product,10510098,"Wypall® X70 White Medium Duty Cloth (12.5 in. x 13.4 in., 870 Cloths/CS)",,,,,,,,,,"[10477982, 10041874, 10474067, 10519884, 10903623]"
8,8,10801177,"Ecolab® Clear QC-77 Bio-Enzymatic Odor Eliminator (44 oz., 1-Piece)",Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
9,9,10069614,"Clorox Healthcare® White Formula 409 Degreaser Disinfectant Cleaner (32 oz., 12-Piece)",Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
10,10,10903620,"Oxivir® White Ready-To-Use Disinfectant Cleaning Wipes (11 in. x 12 in., 640-Piece)",Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
11,11,10903623,"Oxivir® White Ready-To-Use Disinfectant Cleaning Wipes (11 in. x 12 in., 640-Piece)",Wipers_Chemical Wipers,Product,10049674,"Compact® Coreless 2-Ply White Toilet Paper Roll (3.8 in. x 4 in., 1500 Tissues/PK, 18PK/CS)",,,,,,,,,,"[10477982, 10041874, 10474067, 10519884, 10903623]"
12,12,11040908,"Premira® 2-Ply White Disposable Microfiber Wipes (12 in. x 13 in., 600-Piece)",Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
13,13,11047796,PURELL CXR REDIFOAM™ Dispensing Fixture - Chrome 2000 mL,Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
14,14,10943261,PURELL HEALTHY SOAP™ Gentle & Free Foam,Wipers_Chemical Wipers,Product,10631239,"Ecolab Orange QC 34 High Performance Floor Cleanser (44 oz., 1-Piece)",10943393.0,"Ecolab® Clear Oxycide Daily Disinfectant Cleaner (96 oz., 1-Piece)",,,,,,,,"[10477982, 10041874, 10474067, 10519884, 10903623]"
15,15,10943393,"Ecolab® Clear Oxycide Daily Disinfectant Cleaner (96 oz., 1-Piece)",Wipers_Chemical Wipers,Product,10100437,"Heritage 0.5-Mil 20-30-Gal Clear LLDPE Can Liners (30 in. x 36 in., 250-Piece)",10445161.0,"Tork® 2-Ply White Universal Toilet Paper Roll (3.96 in. x 156.25 ft., 500 Sheets/RL, 96 RL/CS)",10631239.0,"Ecolab Orange QC 34 High Performance Floor Cleanser (44 oz., 1-Piece)",11136701.0,"Ecolab® White Creme Cleanser (32 oz., 12-Piece)",10267502.0,"Tork® White Universal H2 Multifold Hand Towel (9.1 in. x 9.5 in.,  250 Towels/PK, 16 PK/CS)",,"[10477982, 10041874, 10474067, 10519884, 10903623]"
16,16,10975237,PURELL CRT HEALTHY SOAP™ High Performance Foam,Wipers_Chemical Wipers,Cat 3,10477982.0,,10041874.0,,10474067.0,,10519884.0,,10903623.0,,Can Liners_High Density,"[10477982, 10041874, 10474067, 10519884, 10903623]"
