Primary Item Number,Related Item Number
10022692,10078486
10022692,10728033
10022692,10775537
10022692,10728306
10022692,10347726
10023733,10728683
10023733,10998558
10023733,10069016
10023733,10728322
10023733,10769359
10023749,10766745
10023749,10954306
10023749,10769391
10023749,10769395
10023749,10071824
10023970,10805476.0
10023970,10937514.0
10023970,10769395.0
10023970,10727930.0
10024232,10747826
10024232,10747828
10024232,11096322
10024232,10122093
10024232,10407830
10024244,10799770
10024244,10949168
10024244,10950227
10024244,11036818
10024244,10270957
10024260,10799770
10024260,11036818
10024260,10950227
10024260,10949168
10024260,10747826
10029049,10954292
10029049,10464214
10029049,10081801
10029049,10223941
10029049,10728306
10033257,11120385
10033257,10347709
10033257,10837531
10033257,10950577
10033257,10347391
10035501,20074447
10035501,10884333
10035501,10544767
10035501,20000319
10035501,10552999
10035502,10467161
10035502,10884333
10035502,10807250
10035502,10766743
10035502,10728069
10035503,10884333.0
10035504,10347407.0
10035504,10347391.0
10035614,10121261
10035614,11091290
10035614,10398694
10035614,10083401
10035614,10078144
10035634,10219186
10035634,10075943
10035634,10728306
10035634,10728026
10035634,10904660
10035734,10083401.0
10035734,10398694.0
10035734,10078144.0
10036186,10876619
10036186,11123778
10036186,11097301
10036186,10480197
10036186,10906146
10036223,20000319
10036223,10342875
10036223,10105655
10036223,10553431
10036223,11120560
10036268,10906145.0
10036268,10727931.0
10036270,10842128
10036270,20034092
10036270,10398694
10036270,10728683
10036270,11091174
10036272,10728683
10036272,11091174
10036272,10347738
10036272,10946264
10036272,11091290
10036273,10061675
10036273,20000319
10036273,10069016
10036273,10553431
10036273,11120560
10036277,11097301
10036277,10348094
10036277,10769395
10036277,10769359
10036277,10769401
10036547,10347408.0
10036549,10728635.0
10036549,10348094.0
10036550,10342875
10036550,11091174
10036550,11091290
10036550,10807250
10036550,10769395
10036553,10746874
10036553,10769362
10036553,10769395
10036553,10769355
10036553,10407830
10036584,10059435.0
10036584,10728683.0
10036584,10934465.0
10036584,10937514.0
10036645,10906148.0
10036699,11016062
10036699,10728031
10036699,10727931
10036699,10727930
10036699,10341188
10037717,10937514
10037717,11091727
10037717,10906145
10037717,10552999
10037717,10728306
10038010,10747826
10038010,10747828
10038010,10812535
10038010,10728306
10038010,10906166
10038031,20033114.0
10038031,10935938.0
10038032,10747826
10038032,11096322
10038032,20033114
10038032,10747828
10038032,10906194
10038049,10769359
10038049,10071824
10038049,10553432
10038049,10769355
10038049,10766745
10038106,10341188
10038106,10347806
10038106,10056561
10038106,10766745
10038106,10766755
10038134,10342875
10038134,10056561
10038134,10769395
10038134,10747826
10038134,10728422
10038135,10347408
10038135,10937512
10038135,10072327
10038135,10934517
10038135,10837279
10038136,11091649.0
10038136,11128974.0
10038136,10056561.0
10038137,10072327
10038137,10347407
10038137,10906139
10038137,10769359
10038137,10347709
10038836,10766745.0
10038874,10950728
10038874,10950596
10038874,11096322
10038874,10121261
10038874,10766745
10038908,11128974.0
10040875,10951182.0
10040875,10951187.0
10040875,11091848.0
10040884,10728683
10040884,10398694
10040884,10728322
10040884,11109179
10040884,10059435
10041051,10553429
10041051,10464214
10041051,10553431
10041051,10213139
10041051,10061675
10041098,10769362.0
10041098,10727931.0
10041098,10769355.0
10041298,10728322
10041298,20000319
10041298,11120560
10041298,10342875
10041298,10728422
10043468,11120385.0
10043468,10906146.0
10043468,10769220.0
10050643,10553431
10050643,10769359
10050643,10342875
10050643,10347845
10050643,10728601
10056561,10180734
10056561,10347396
10056561,10645774
10056561,10954306
10056561,10341188
10057742,11091629
10057742,10769405
10057742,11091628
10057742,11091630
10057742,10769362
10058192,10728683
10058192,10728422
10058192,11021746
10058192,10728322
10058192,10728601
10059275,10552999
10059275,10727930
10059275,10766755
10059275,10347391
10059275,10766752
10059312,10904663
10059312,10553070
10059312,10728306
10059312,10769395
10059312,10553431
10059431,10123682.0
10059431,10728683.0
10059435,10728422.0
10059950,10069548
10059950,10728601
10059950,10906145
10059950,10398694
10059950,11097301
10060537,20000319
10060537,10553431
10060537,11120560
10060537,10407830
10060537,10219186
10060599,10906166
10060599,10413394
10060599,10115822
10060599,10769395
10060599,10728306
10061066,10342875
10061066,20016044
10061066,10950582
10061066,10121261
10061066,10407830
10061675,20033624
10061675,10069016
10061675,10123682
10061675,20015324
10061675,10976542
10063950,10769355
10063950,10270957
10063950,20033624
10063950,10766745
10063950,10812462
10065002,10728601.0
10065002,10728029.0
10065002,10553070.0
10067401,11120620
10067401,10069547
10067401,11097301
10067401,10095615
10067401,10769405
10067455,10348093
10067455,10348090
10067455,10347412
10067455,10769395
10067455,20033114
10067458,11087571.0
10067458,10219186.0
10067458,10972217.0
10067458,10347726.0
10067650,20034092
10067650,10078454
10067650,10728306
10067650,10705613
10067650,10992032
10067997,10553070
10067997,10061675
10067997,10906146
10067997,11120560
10067997,10769359
10068011,10553429
10068011,10553070
10068011,10553431
10068011,10061675
10068011,10727930
10068024,10553070
10068024,10552999
10068024,11114531
10068024,10950501
10068024,10769362
10068038,10078511
10068038,10155902
10068038,10553429
10068038,10769355
10068038,10769359
10068525,10728683.0
10068525,11021746.0
10068525,10727931.0
10068525,11087570.0
10068798,10947264.0
10068798,20074447.0
10068798,10341188.0
10069016,10061675
10069016,10347806
10069016,10342875
10069016,10728538
10069016,10998558
10069117,10131566
10069117,10950227
10069117,10206445
10069117,10950685
10069117,10095301
10069195,10342875.0
10069195,10727931.0
10069277,10950685
10069277,10237193
10069277,10693790
10069277,10710868
10069277,10071824
10069547,10075943
10069547,11120620
10069547,20033114
10069547,10067401
10069547,10071824
10069548,10728601
10069548,10398694
10069548,10906145
10069548,10728683
10069548,20016044
10069550,10347726
10069550,11128967
10069550,10727931
10069550,10766745
10069550,10728048
10069732,10769355
10069732,10769395
10069732,10747826
10069732,10747828
10069732,10121261
10071824,10580842
10071824,10824196
10071824,10806668
10071824,10574994
10071824,10552999
10071825,10876619
10071825,10071828
10071825,10727931
10071825,11021746
10071825,10769252
10071828,10728683
10071828,10121261
10071828,10071825
10071828,10807250
10071828,10812535
10071830,10071824.0
10071830,10147340.0
10071830,10728306.0
10071830,10426338.0
10072327,10934517
10072327,10347407
10072327,10906139
10072327,10728306
10072327,10347726
10072331,11087571.0
10072331,10728683.0
10072331,10728422.0
10072331,11087570.0
10072607,10727931.0
10072607,10979227.0
10072607,10906146.0
10072607,10727930.0
10072725,10950227
10072725,10769355
10072725,10180734
10072725,10799770
10072725,10949168
10072728,10075943
10072728,10766755
10072728,10728306
10072728,10184989
10072728,10727931
10074409,10918230
10074409,10223941
10074409,10348093
10074409,10769362
10074409,10769395
10074946,10553431
10074946,10413394
10074946,10878740
10074946,10728601
10074946,10728027
10075008,10727931
10075008,10180737
10075008,10413394
10075008,10769391
10075008,10906146
10075943,10792187
10075943,10769222
10075943,10906146
10075943,10069547
10075943,10766755
10076144,10728306.0
10076144,11120620.0
10077632,10147340
10077632,11097301
10077632,10906146
10077632,10341188
10077632,10728306
10078133,10950540
10078133,11120560
10078133,10131566
10078133,10799770
10078133,10553431
10078144,10083401
10078144,10398694
10078144,10071824
10078144,10727930
10078144,10487760
10078225,10728306.0
10078225,10769355.0
10078454,20034092
10078454,10728306
10078454,10705613
10078454,10992032
10078454,10906146
10078486,10727941
10078486,10348094
10078486,10728306
10078486,10775537
10078486,10347726
10078511,10155902
10078511,10068038
10078511,11141168
10078511,11098491
10078511,10553429
10081067,11051802
10081067,10071824
10081067,10806668
10081067,10341188
10081067,10766745
10081801,10213139
10081801,11141168
10081801,10384855
10081801,11098491
10081801,10769391
10082365,10083401
10082365,10398694
10082365,10078144
10082365,10728322
10082365,11087570
10083401,10398694
10083401,10078144
10083401,10083522
10083401,10728322
10083401,10341188
10083522,10083401
10083522,10398694
10083522,10728306
10083522,10950227
10083522,10728422
10084090,10769224.0
10084090,10769252.0
10084090,10728538.0
10084522,10553429
10084522,10553070
10084522,10853704
10084522,10906146
10084522,10906145
10087817,10806656
10087817,10270957
10087817,10728322
10087817,10769224
10087817,10728601
10088921,10341188.0
10088921,10083522.0
10088921,10078144.0
10088921,10904666.0
10094467,10553431
10094467,10769359
10094467,10347845
10094467,10342875
10094467,10059275
10095252,10503958
10095252,10180734
10095252,10799770
10095252,10950596
10095252,10950467
10095258,10099678
10095258,10125858
10095258,10061675
10095258,11036648
10095258,10950233
10095260,10095301
10095260,10950481
10095260,10950467
10095260,10061675
10095260,11097301
10095276,10769395
10095276,10950762
10095276,10122105
10095276,11097301
10095276,10407830
10095301,10115822
10095301,10853704
10095301,10769222
10095301,11051802
10095301,10950233
10095615,10979227
10095615,10067401
10095615,10517627
10095615,10398694
10095615,10728027
10095783,10746874.0
10095834,10904660
10095834,10904666
10095834,10906146
10095834,10766745
10095834,10775639
10096148,10728027.0
10096148,10906145.0
10096148,11120560.0
10097138,10728306
10097138,10401471
10097138,10341188
10097138,10727941
10097138,10348094
10097505,11120560.0
10097505,10553431.0
10097505,10766745.0
10097505,10812606.0
10097731,11120560
10097731,10480197
10097731,10769395
10097731,10728322
10097731,11117050
10099678,11051802
10099678,10125858
10099678,10095258
10099678,10949168
10099678,10950762
10100284,10769220.0
10100284,10769222.0
10100284,10728048.0
10100284,10769224.0
10100689,10553431
10100689,10728683
10100689,10061675
10100689,10342875
10100689,20000319
10102230,10347396.0
10102230,10056561.0
10102628,10075943
10102628,10950569
10102628,10121261
10102628,10413394
10102628,10115822
10103464,10949168
10103464,10950227
10103464,10799770
10103464,11036818
10103464,10180734
10103542,10937514.0
10103542,10728322.0
10103815,10071824
10103815,10824196
10103815,10878740
10103815,10574994
10103815,20034092
10104007,10341188.0
10104007,10766745.0
10104007,10906142.0
10104012,10147340.0
10104012,10728306.0
10104012,10769355.0
10105326,10401471.0
10105326,10728422.0
10105561,10147340.0
10105561,10728306.0
10105568,10061675
10105568,10095258
10105568,11144307
10105568,10095260
10105568,10769362
10105654,10728635
10105654,10553070
10105654,20016044
10105654,10728306
10105654,10934517
10105655,10544767
10105655,10552999
10105655,10342875
10105655,20074447
10105655,10769395
10105960,10290513
10105960,10950227
10105960,10398694
10105960,10906166
10105960,10769355
10106743,10071824
10106743,10824196
10106743,20034092
10106743,10574994
10106743,10078454
10107331,10069547
10107331,11120620
10107331,11120560
10107331,10067401
10107331,20033114
10108206,10769355
10108206,10342875
10108206,10727930
10108206,10950227
10108206,10799770
10108621,10799770.0
10108621,10122093.0
10108621,10612736.0
10108621,10728029.0
10111684,10837543
10111684,10121261
10111684,10407830
10111684,11036818
10111684,10650759
10112104,10906146
10112104,10407830
10112104,10949168
10112104,11054681
10112104,10950646
10112663,10799770
10112663,10180734
10112663,10949168
10112663,10950227
10112663,10858323
10112664,10799770
10112664,10180734
10112664,10949168
10112664,10950227
10112664,10950596
10112665,10799770
10112665,11091629
10112665,11091628
10112665,11091630
10112665,10949168
10112667,11091630
10112667,10799770
10112667,11091628
10112667,11091629
10112667,10949168
10114043,10799770
10114043,10950227
10114043,10949168
10114043,11051802
10114043,10858323
10114125,10728322
10114125,10727930
10114125,10728601
10114125,10347391
10114125,10979227
10115603,10766745
10115603,10728538
10115603,20087278
10115603,20092994
10115603,10906172
10115822,10950687
10115822,10095301
10115822,10853704
10115822,10950233
10115822,11051802
10116905,20016044
10116905,10807250
10116905,11021746
10116905,10342875
10116905,10807187
10120400,10710868
10120400,11096322
10120400,10115822
10120400,10095301
10120400,10950227
10120564,10147340
10120564,10845197
10120564,10769395
10120564,10769359
10120564,10853704
10120964,10095258
10120964,10728306
10120964,10728601
10120964,10727931
10120964,10728069
10120969,10072327
10120969,10347407
10120969,10071824
10120969,10347726
10120969,10906139
10121227,10979227
10121227,10184989
10121227,10998530
10121227,10347396
10121227,10769391
10121261,10580842
10121261,10837543
10121261,10407830
10121261,11036818
10121261,10155336
10121281,10878740
10121281,10413394
10121281,10935938
10121281,10728034
10121281,10769395
10122093,11096322
10122093,10747826
10122093,10503958
10122093,10747828
10122093,10407830
10122105,10061675
10122105,10123682
10122105,11097301
10122105,10728306
10122105,10906146
10123682,10061675
10123682,10122105
10123682,10095301
10123682,10407830
10123682,10747826
10125858,10799770
10125858,10099678
10125858,10949168
10125858,10950227
10125858,11036818
10130079,10219186
10130079,10769362
10130079,10769401
10130079,10766745
10130079,10728306
10131304,10180734
10131304,10950596
10131304,10095252
10131304,10851800
10131304,20033114
10131566,10270957
10131566,10853704
10131566,10950596
10131566,10950569
10131566,10746874
10131599,10954306
10131599,11096322
10131599,10061675
10131599,10986317
10131599,10115822
10134751,10728538.0
10136044,10906172.0
10136895,11091727
10136895,20016044
10136895,10747826
10136895,10747828
10136895,11098491
10137017,11102731.0
10137017,10083522.0
10137017,10769355.0
10137411,10071828
10137411,10499639
10137411,10906146
10137411,10499665
10137411,10769355
10137425,10553432.0
10143121,10728601
10143121,10951947
10143121,10937514
10143121,10728031
10143121,11120560
10145622,10837543
10145622,10121261
10145622,10407830
10145622,11036818
10145622,10650759
10145886,11120560.0
10145886,10827147.0
10145966,10071825
10145966,20016044
10145966,10906146
10145966,10906145
10145966,10069548
10146012,10072327
10146012,10934517
10146012,10937514
10146012,10805476
10146012,10728034
10146040,10341188.0
10146040,10727930.0
10146176,11107489.0
10146769,10906172.0
10146769,10906139.0
10146769,10553070.0
10146769,10906145.0
10147331,10946264.0
10147331,11091174.0
10147332,11091174
10147332,10946264
10147332,10319793
10147332,10078225
10147332,10728306
10147340,10426338
10147340,10480197
10147340,10413394
10147340,10728306
10147340,10071830
10147542,10946264
10147542,10705613
10147542,10720724
10147542,11091174
10147542,10728422
10152437,10095252
10152437,11036648
10152437,10095301
10152437,10769220
10152437,10095258
10155336,10121261
10155336,10580842
10155336,11120620
10155336,10769253
10155336,10855440
10155902,10078511
10155902,10068038
10155902,10553429
10155902,10906146
10155902,10727931
10160043,10061675
10160043,10728306
10160043,10553431
10160043,10347845
10160043,10553070
10161190,11141168
10161190,10213139
10161190,10747828
10161190,11120560
10161190,11096322
10161826,11097302
10161826,20016044
10161826,10937514
10161826,10398694
10161826,10769395
10165625,11091629
10165625,11091630
10165625,11091628
10165625,10769401
10165625,10071824
10165767,11091629
10165767,11091630
10165767,11091628
10165767,10769401
10165767,10071824
10168114,20034092
10168114,10078454
10168114,10728306
10168114,10705613
10168114,10992032
10170058,10342875.0
10170058,10705613.0
10172750,10056561
10172750,10071828
10172750,11051802
10172750,10979227
10172750,10587390
10172787,11091290
10172787,10121261
10172787,11090973
10172787,10728601
10172787,10979227
10172790,10799770
10172790,10950227
10172790,10115822
10172790,10949168
10172790,10180734
10180707,11123778.0
10180707,11008086.0
10180707,10827295.0
10180707,10937512.0
10180734,10950596
10180734,10950227
10180734,10799770
10180734,10095252
10180734,10949168
10180737,10701964
10180737,10352874
10180737,10727931
10180737,10769359
10180737,10906146
10182373,10728306.0
10182373,10348090.0
10182986,10769395
10182986,10553432
10182986,11128965
10182986,10513624
10182986,10769401
10184989,11097301
10184989,10852018
10184989,10979227
10184989,10121227
10184989,10906146
10185756,10071824
10185756,10878740
10185756,10728034
10185756,10769395
10185756,10413394
10190720,10413394
10190720,10998527
10190720,10347407
10190720,10341188
10190720,10121261
10190912,10769362
10190912,10341188
10190912,10727931
10190912,10769355
10190912,10769219
10194127,10083522
10194127,10769252
10194127,10728306
10194127,10769253
10194127,11097301
10196834,11120560
10196834,10852018
10196834,10853704
10196834,10553070
10196834,10347726
10199666,10728034.0
10206445,10131566
10206445,10208894
10206445,10954262
10206445,10728683
10206445,10954306
10208267,10769395
10208267,10807250
10208267,11114531
10208267,10727930
10208267,10728306
10208894,10950467
10208894,10095252
10208894,10237193
10208894,10206445
10208894,10954306
10213139,10081801
10213139,10384855
10213139,10853704
10213139,10950687
10213139,10710868
10217910,10728422
10217910,10347396
10217910,10056561
10217910,10998558
10217910,10766745
10218980,20034092
10218980,10078454
10218980,10728306
10218980,10705613
10218980,10992032
10218987,20034092
10218987,10078454
10218987,10728306
10218987,10992032
10218987,10705613
10219186,10728601
10219186,10769362
10219186,10398694
10219186,20016044
10219186,11097301
10223941,10061675
10223941,10081801
10223941,10290513
10223941,10348093
10223941,10710868
10225908,10355280
10225908,10950481
10225908,10799770
10225908,10407830
10225908,11054681
10226814,20034092
10226814,10078454
10226814,10728306
10226814,10705613
10226814,10992032
10227321,20074447.0
10227321,10766745.0
10227321,11097301.0
10227902,10398694.0
10237193,10950582
10237193,10932839
10237193,10355280
10237193,10950596
10237193,10950540
10243019,10852681
10243019,10766737
10243019,10069117
10243019,10728034
10243019,10348093
10248951,10342875
10248951,10069548
10248951,10580842
10248951,10347806
10248951,10727930
10254161,10069016.0
10254161,10348093.0
10254161,10766745.0
10256368,10766745
10256368,10347806
10256368,10906145
10256368,10906142
10256368,10728031
10257575,10769355
10257575,10949168
10257575,10799770
10257575,10180734
10257575,10950227
10263887,10553431
10263887,10728306
10263887,10347412
10263887,10342875
10263887,20000319
10267870,10442036
10267870,10812600
10267870,10812606
10267870,10553429
10267870,10812611
10269660,10769362
10269660,10769359
10269660,10309521
10269660,10728538
10269660,10766745
10270957,10131566
10270957,10950685
10270957,10506509
10270957,11120560
10270957,10950736
10286596,10580842
10286596,10071824
10286596,10061675
10286596,10728601
10286596,10727941
10287642,11120620
10287642,10121261
10287642,10413394
10287642,10766745
10287642,10347391
10287792,20027812.0
10287792,10769355.0
10290513,10180734
10290513,10575482
10290513,10906166
10290513,10384855
10290513,10950596
10292862,10115822
10292862,10950582
10292862,10950687
10292862,10072327
10292862,11097301
10297641,10511626.0
10297779,10184989
10297779,10906146
10297779,11097301
10297779,10904660
10297779,10728306
10299876,10715051.0
10304707,10747826
10304707,10747828
10304707,11096322
10304707,10407830
10304707,10122093
10307707,10480197.0
10307707,10769395.0
10307707,10728306.0
10307707,10727931.0
10309521,10769362
10309521,10769359
10309521,10728538
10309521,10769355
10309521,10837556
10313097,10553429
10313097,10853704
10313097,10553070
10313097,10906145
10313097,10727930
10314387,10766752
10314387,10906146
10314387,10807250
10314387,10464214
10314387,10904666
10329042,20034092
10329042,10078454
10329042,10728306
10329042,10155902
10329042,10992032
10331664,10078486
10331664,10728033
10331664,10775537
10331664,10728306
10331664,10348094
10341188,11097301
10341188,10056561
10341188,10906146
10341188,10728306
10341188,10071824
10342875,11087571
10342875,20000319
10342875,10728683
10342875,10553431
10342875,10398694
10346910,11087570.0
10347391,10480197
10347391,10820911
10347391,10347738
10347391,10766745
10347391,10056561
10347396,10056561
10347396,10180734
10347396,10728683
10347396,10347806
10347396,10979227
10347407,10812510
10347407,10072327
10347407,10769362
10347407,10806776
10347407,10727941
10347408,10769355
10347408,11097302
10347408,10728601
10347408,10728306
10347408,11051802
10347412,11091629
10347412,11091628
10347412,10769405
10347412,11091630
10347412,10769362
10347709,10033257
10347709,10348093
10347709,10553429
10347709,10464214
10347709,10213139
10347726,11120560
10347726,10728306
10347726,10342875
10347726,10984091
10347726,10769355
10347738,10820911
10347738,10342875
10347738,10728601
10347738,10347412
10347738,10347391
10347806,10061675
10347806,10069016
10347806,10342875
10347806,10766745
10347806,10056561
10347845,10728306
10347845,10928555
10347845,10728029
10347845,10348094
10347845,10553431
10348090,10341188
10348090,10727931
10348090,10347391
10348090,10342875
10348090,10067455
10348091,10728306
10348091,10766745
10348091,10728538
10348091,10906145
10348091,11120620
10348093,10979227
10348093,10728322
10348093,10347412
10348093,10837543
10348093,10121261
10348094,10398694
10348094,10728306
10348094,10727941
10348094,10347845
10348094,10078486
10352874,10180737.0
10352874,10906146.0
10352874,10906139.0
10355280,10237193
10355280,10950582
10355280,10950596
10355280,10225908
10355280,10858323
10364378,10575482
10364378,10398694
10364378,11097301
10364378,10727930
10364378,10728027
10368886,10906146.0
10382454,10480197.0
10382454,10769395.0
10382454,10728306.0
10382454,10727931.0
10384132,11141168
10384132,11098491
10384132,10081801
10384132,20000319
10384132,10837531
10384855,10081801
10384855,10213139
10384855,10180734
10384855,10949168
10384855,10799770
10388144,10125858
10388144,10769220
10388144,11098491
10388144,10769222
10388144,10946264
10393639,20074447.0
