,Primary Item Number,Related Item Number
0,10004037.0,10728643.0
1,10004037.0,10728668.0
2,10004037.0,10728029.0
3,10004037.0,10728033.0
4,10004037.0,10058192.0
5,10004037.0,10036272.0
6,10004037.0,10036273.0
7,10004037.0,20002055.0
8,10004037.0,20021209.0
9,10004037.0,10121261.0
10,10022692.0,10727977.0
11,10022692.0,10728033.0
12,10022692.0,11056848.0
13,10022692.0,10728594.0
14,10022692.0,10728695.0
15,10022692.0,10728306.0
16,10022692.0,11056850.0
17,10022692.0,10969882.0
18,10022692.0,10331664.0
19,10022692.0,10412058.0
20,10023733.0,10728143.0
21,10023733.0,10728000.0
22,10023733.0,11128976.0
23,10023733.0,10998558.0
24,10023733.0,10728176.0
25,10023733.0,11128965.0
26,10023733.0,10728005.0
27,10023733.0,10688017.0
28,10023733.0,10495384.0
29,10023733.0,10036270.0
30,10023749.0,10766745.0
31,10023749.0,11056849.0
32,10023749.0,10728347.0
33,10023749.0,11150370.0
34,10023749.0,10769395.0
35,10023749.0,10728315.0
36,10023749.0,10769391.0
37,10023749.0,10728688.0
38,10023749.0,10728511.0
39,10023749.0,10406053.0
40,10023970.0,10937514.0
41,10023970.0,11120644.0
42,10023970.0,11150374.0
43,10023970.0,10727977.0
44,10023970.0,10727999.0
45,10023970.0,10727930.0
46,10023970.0,10805476.0
47,10023970.0,10037717.0
48,10024232.0,10728533.0
49,10024232.0,10906194.0
50,10024232.0,10747826.0
51,10024232.0,10024260.0
52,10024232.0,10396064.0
53,10024232.0,10304707.0
54,10024232.0,10805953.0
55,10024232.0,10747828.0
56,10024232.0,20094331.0
57,10024232.0,10688017.0
58,10024244.0,11017425.0
59,10024244.0,10024260.0
60,10024244.0,10799770.0
61,10024244.0,10112665.0
62,10024244.0,10161190.0
63,10024244.0,10949168.0
64,10024244.0,11102146.0
65,10024244.0,10112667.0
66,10024244.0,11036818.0
67,10024244.0,10950227.0
68,10024260.0,10024244.0
69,10024260.0,10112665.0
70,10024260.0,10799770.0
71,10024260.0,11036818.0
72,10024260.0,10112667.0
73,10024260.0,10949168.0
74,10024260.0,10950227.0
75,10024260.0,10172790.0
76,10024260.0,10747826.0
77,10024260.0,10396064.0
78,10029049.0,10728643.0
79,10029049.0,10728306.0
80,10029049.0,10728839.0
81,10029049.0,10728251.0
82,10029049.0,10954292.0
83,10029049.0,20021209.0
84,10029049.0,11090419.0
85,10029049.0,10405236.0
86,10029049.0,10575986.0
87,10029049.0,10223941.0
88,10033257.0,11120729.0
89,10033257.0,10728525.0
90,10033257.0,20096366.0
91,10033257.0,10728533.0
92,10033257.0,20096371.0
93,10033257.0,11056852.0
94,10033257.0,10728318.0
95,10033257.0,11120385.0
96,10033257.0,10347709.0
97,10033257.0,10950233.0
98,10035501.0,10728522.0
99,10035501.0,10727979.0
100,10035501.0,10728685.0
101,10035501.0,10728322.0
102,10035501.0,10495384.0
103,10035501.0,20074447.0
104,10035501.0,10036223.0
105,10035501.0,10035502.0
106,10035501.0,20046533.0
107,10035501.0,10884333.0
108,10035502.0,10728318.0
109,10035502.0,10728521.0
110,10035502.0,10728138.0
111,10035502.0,10766743.0
112,10035502.0,10467161.0
113,10035502.0,10102628.0
114,10035502.0,10035501.0
115,10035502.0,10072728.0
116,10035502.0,20086846.0
117,10035502.0,10884333.0
118,10035503.0,10728673.0
119,10035503.0,20096364.0
120,10035503.0,10038136.0
121,10035503.0,10035501.0
122,10035503.0,10035502.0
123,10035503.0,10035504.0
124,10035503.0,10884333.0
125,10035503.0,10038137.0
126,10035503.0,10038134.0
127,10035504.0,20062900.0
128,10035504.0,10728318.0
129,10035504.0,10728647.0
130,10035504.0,10727999.0
131,10035504.0,10728561.0
132,10035504.0,10728696.0
133,10035504.0,10036270.0
134,10035504.0,10035502.0
135,10035504.0,11002683.0
136,10035504.0,10038135.0
137,10035614.0,10728325.0
138,10035614.0,20096371.0
139,10035614.0,10727982.0
140,10035614.0,10172787.0
141,10035614.0,11091290.0
142,10035614.0,10082365.0
143,10035614.0,10782251.0
144,10035614.0,10083401.0
145,10035614.0,10398694.0
146,10035614.0,10078144.0
147,10035634.0,10728176.0
148,10035634.0,10728635.0
149,10035634.0,11120731.0
150,10035634.0,10728430.0
151,10035634.0,11120733.0
152,10035634.0,10698827.0
153,10035634.0,10700405.0
154,10035634.0,10691333.0
155,10035634.0,10700439.0
156,10035634.0,10036270.0
157,10035734.0,10728325.0
158,10035734.0,10728010.0
159,10035734.0,10082365.0
