,Primary Item Number,Related Item Number
0,10012415,10098323.0
1,10012415,10943252.0
2,10012415,10546160.0
3,10012415,10097190.0
4,10012415,10049812.0
5,10012415,10942870.0
6,10012415,10396065.0
7,10012415,10928677.0
8,10012415,10778416.0
9,10012415,10012427.0
10,10012416,10098323.0
11,10012416,10097190.0
12,10012416,10943252.0
13,10012416,10546160.0
14,10012416,10012724.0
15,10012416,10357365.0
16,10012416,20012592.0
17,10012416,10012427.0
18,10012416,11153332.0
19,10012416,11153329.0
20,10012416,10049812.0
21,10012418,20037330.0
22,10012418,20062456.0
23,10012418,10395151.0
24,10012418,20077538.0
25,10012418,10941576.0
26,10012418,10771735.0
27,10012418,10357365.0
28,10012418,10050648.0
29,10012418,10084953.0
30,10012418,10801559.0
31,10012418,20037334.0
32,10012422,10805288.0
33,10012422,20037330.0
34,10012422,10098323.0
35,10012422,10049812.0
36,10012422,10546160.0
37,10012422,10396065.0
38,10012422,10781406.0
39,10012422,10928677.0
40,10012422,20003479.0
41,10012422,10282034.0
42,10012427,10098323.0
43,10012427,10049812.0
44,10012427,10943252.0
45,10012427,10097190.0
46,10012427,10546160.0
47,10012427,10396065.0
48,10012427,10042733.0
49,10012427,10928677.0
50,10012427,10012416.0
51,10012427,10012415.0
52,10012428,10049675.0
53,10012428,10098323.0
54,10012428,10297281.0
55,10012428,10837578.0
56,10012428,10012724.0
57,10012428,10012416.0
58,10012428,20012592.0
59,10012428,10012415.0
60,10012428,10012427.0
61,10012428,10357365.0
62,10012428,10050907.0
63,10012428,20080888.0
64,10012628,10474720.0
65,10012628,10063260.0
66,10012628,10049547.0
67,10012628,10227691.0
68,10012628,10312246.0
69,10012628,10049674.0
70,10012628,10049683.0
71,10012628,10650665.0
72,10012628,10093052.0
73,10012628,11155231.0
74,10012665,20037330.0
75,10012665,10093052.0
76,10012665,10784609.0
77,10012665,10836809.0
78,10012665,10907476.0
79,10012665,11056861.0
80,10012665,10836805.0
81,10012665,20062386.0
82,10012665,10012415.0
83,10012665,20064066.0
84,10012665,20077538.0
85,10012665,10297281.0
86,10012712,10598675.0
87,10012712,10598703.0
88,10012712,10031381.0
89,10012712,11111560.0
90,10012712,10042222.0
91,10012712,10031380.0
92,10012712,10187543.0
93,10012712,10050907.0
94,10012712,10012628.0
95,10012712,20080888.0
96,10012724,10098323.0
97,10012724,10097190.0
98,10012724,10943252.0
99,10012724,10042733.0
100,10012724,10546160.0
101,10012724,10928677.0
102,10012724,10012416.0
103,10012724,10357365.0
104,10012724,20012592.0
105,10012724,10012427.0
106,10025406,11052530.0
107,10025406,11052578.0
108,10025406,10843709.0
109,10025406,11071078.0
110,10025406,10853740.0
111,10025406,11108727.0
112,10025406,10842147.0
113,10025406,10504765.0
114,10025406,10849331.0
115,10025406,20021543.0
116,10025406,10743174.0
117,10025406,10784609.0
118,10025406,11145381.0
119,10030346,10741665.0
120,10030346,20037330.0
121,10030346,10961168.0
122,10030346,10396065.0
123,10030346,10098323.0
124,10030346,10843350.0
125,10030346,11071078.0
126,10030346,10853740.0
127,10030346,11108727.0
128,10030346,20077538.0
129,10031312,20068679.0
130,10031312,20068722.0
131,10031312,10957196.0
132,10031312,10741667.0
133,10031312,10049675.0
134,10031312,10504047.0
135,10031312,10049694.0
136,10031312,10098323.0
137,10031312,10474720.0
138,10031312,10064133.0
139,10031380,10366590.0
140,10031380,10098323.0
141,10031380,10082155.0
142,10031380,10598703.0
143,10031380,10042222.0
144,10031380,10093052.0
145,10031380,10546160.0
146,10031380,10598675.0
147,10031380,11111560.0
148,10031380,10574148.0
