,Primary Item Number,Related Item Number
0,10004037,10728029.0
1,10004037,10728033.0
2,10004037,10121261.0
3,10004037,10728643.0
4,10004037,10728668.0
5,10004037,10058192.0
6,10004037,10036272.0
7,10004037,10036273.0
8,10004037,20002055.0
9,10004037,20021209.0
10,10004037,10076144.0
11,10004037,10728635.0
12,10022692,10728033.0
13,10022692,10728306.0
14,10022692,10775537.0
15,10022692,10348094.0
16,10022692,10727977.0
17,10022692,11056848.0
18,10022692,10728594.0
19,10022692,10728695.0
20,10022692,11056850.0
21,10022692,10969882.0
22,10022692,10766745.0
23,10023733,11128976.0
24,10023733,10998558.0
25,10023733,11128965.0
26,10023733,10069016.0
27,10023733,10728143.0
28,10023733,10728000.0
29,10023733,10728176.0
30,10023733,10728005.0
31,10023733,10688017.0
32,10023733,10036270.0
33,10023733,10769359.0
34,10023749,10766745.0
35,10023749,10769395.0
36,10023749,10769391.0
37,10023749,10071824.0
38,10023749,10574994.0
39,10023749,11056849.0
40,10023749,10728347.0
41,10023749,11150370.0
42,10023749,10728315.0
43,10023749,10728688.0
44,10023970,10937514.0
45,10023970,10727930.0
46,10023970,10805476.0
47,10023970,11120644.0
48,10023970,11150374.0
49,10023970,10727977.0
50,10023970,10727999.0
51,10023970,10037717.0
52,10024232,10906194.0
53,10024232,10747826.0
54,10024232,10747828.0
55,10024232,11096322.0
56,10024232,10728533.0
57,10024232,10304707.0
58,10024232,20094331.0
59,10024232,10688017.0
60,10024232,10772812.0
61,10024232,10024260.0
62,10024232,10122093.0
63,10024244,10799770.0
64,10024244,10949168.0
65,10024244,11036818.0
66,10024244,10950227.0
67,10024244,20015324.0
68,10024244,10112665.0
69,10024244,10112667.0
70,10024244,10182373.0
71,10024244,10112664.0
72,10024244,11017425.0
73,10024260,10747826.0
74,10024260,10799770.0
75,10024260,11036818.0
76,10024260,10949168.0
77,10024260,10950227.0
78,10024260,10407830.0
79,10024260,10112665.0
80,10024260,10112667.0
81,10024260,10304707.0
82,10024260,10114043.0
83,10029049,10728306.0
84,10029049,10464214.0
85,10029049,11120560.0
86,10029049,10954292.0
87,10029049,10223941.0
88,10029049,10081801.0
89,10029049,10180737.0
90,10029049,10728643.0
91,10029049,10728839.0
92,10029049,10728251.0
93,10033257,11120385.0
94,10033257,10347709.0
95,10033257,10095301.0
96,10033257,10837531.0
97,10033257,10950577.0
98,10033257,10347391.0
99,10033257,11120729.0
100,10033257,10728525.0
101,10033257,20096366.0
102,10033257,10728533.0
103,10033257,10950233.0
104,10035501,10728322.0
105,10035501,20074447.0
106,10035501,10884333.0
107,10035501,10544767.0
108,10035501,10484135.0
109,10035501,10552999.0
110,10035501,10342875.0
111,10035501,10728522.0
112,10035501,10727979.0
113,10035501,10728685.0
114,10035502,10766743.0
115,10035502,10467161.0
116,10035502,10884333.0
117,10035502,10728318.0
118,10035502,10728521.0
119,10035502,10728138.0
120,10035502,10102628.0
121,10035502,10035501.0
122,10035502,10072728.0
123,10035502,20086846.0
124,10035502,10807250.0
125,10035502,10728069.0
126,10035503,10884333.0
127,10035503,10728673.0
128,10035503,20096364.0
129,10035503,10038136.0
130,10035503,10035501.0
131,10035503,10035502.0
132,10035503,10035504.0
133,10035503,10038137.0
134,10035503,10038134.0
135,10035504,20062900.0
136,10035504,10728318.0
137,10035504,10728647.0
138,10035504,10727999.0
