,Primary Item Number,Related Item Number
0,10298253,10301632.0
1,10298253,10802527.0
2,10298253,10302519.0
3,10298253,10735816.0
4,10298253,10735815.0
5,10298253,10735777.0
6,10298253,10735817.0
7,10298253,10299390.0
8,10298253,10755118.0
9,10298253,10735914.0
10,10299390,10298253.0
11,10299390,10735814.0
12,10299390,10735815.0
13,10299390,10735817.0
14,10299390,10735816.0
15,10299390,10735780.0
16,10299390,10301632.0
17,10299390,10735777.0
18,10299390,10911754.0
19,10299390,10735775.0
20,10301632,10298253.0
21,10301632,10802527.0
22,10301632,10302519.0
23,10301632,10735817.0
24,10301632,10766056.0
25,10301632,10735816.0
26,10301632,10735874.0
27,10301632,10735848.0
28,10301632,10735777.0
29,10301632,10735914.0
30,10302459,10735815.0
31,10302459,10802527.0
32,10302459,10735814.0
33,10302459,10872523.0
34,10302459,10735777.0
35,10302459,10913091.0
36,10302459,10298253.0
37,10302459,20015145.0
38,10302459,10735869.0
39,10302459,10735858.0
40,10302459,11136851.0
41,10302459,11136857.0
42,10302519,10298253.0
43,10302519,10301632.0
44,10302519,10802527.0
45,10302519,10299390.0
46,10302519,10735816.0
47,10302519,10735777.0
48,10302519,10735784.0
49,10302519,10990077.0
50,10302519,10735769.0
51,10302519,20015142.0
52,10302519,11136851.0
53,10727262,10735814.0
54,10727262,10755132.0
55,10727262,10735770.0
56,10727262,10735780.0
57,10727262,10298253.0
58,10727262,10735817.0
59,10727262,20017637.0
60,10727262,10988992.0
61,10727262,10301632.0
62,10727262,10727310.0
63,10727282,10735784.0
64,10727282,10735874.0
65,10727282,10735777.0
66,10727282,10735718.0
67,10727282,10911713.0
68,10727282,10911699.0
69,10727282,10755118.0
70,10727282,10755128.0
71,10727282,10755134.0
72,10727282,20015142.0
73,10727282,10766056.0
74,10727284,10735777.0
75,10727284,11107163.0
76,10727284,10735874.0
77,10727284,10735914.0
78,10727284,10735769.0
79,10727284,10735932.0
80,10727284,10911754.0
81,10727284,10735846.0
82,10727284,10735784.0
83,10727284,20015155.0
84,10727287,10735864.0
85,10727287,10735816.0
86,10727287,10756706.0
87,10727287,10735834.0
88,10727287,20015150.0
89,10727287,10735863.0
90,10727287,10735878.0
91,10727287,10735877.0
92,10727287,10735894.0
93,10727287,10745531.0
94,10727296,10735784.0
95,10727296,10735874.0
96,10727296,10735777.0
97,10727296,10735718.0
98,10727296,10911713.0
99,10727296,10911699.0
100,10727296,10755118.0
