,Primary Item Number,Related Item Number
0,10022692.0,10728033.0
1,10022692.0,10775537.0
2,10022692.0,10348094.0
3,10022692.0,10728306.0
4,10022692.0,10766745.0
5,10022692.0,10727977.0
6,10022692.0,10728033.0
7,10022692.0,11056848.0
8,10022692.0,10728594.0
9,10022692.0,10728695.0
10,10022692.0,10728306.0
11,10022692.0,11056850.0
12,10022692.0,10969882.0
13,10022692.0,10331664.0
14,10022692.0,10412058.0
15,10023733.0,11128976.0
16,10023733.0,10998558.0
17,10023733.0,10069016.0
18,10023733.0,11128965.0
19,10023733.0,10769359.0
20,10023733.0,10728143.0
21,10023733.0,10728000.0
22,10023733.0,11128976.0
23,10023733.0,10998558.0
24,10023733.0,10728176.0
25,10023733.0,11128965.0
26,10023733.0,10728005.0
27,10023733.0,10688017.0
28,10023733.0,10495384.0
29,10023733.0,10036270.0
30,10023749.0,10766745.0
31,10023749.0,10769395.0
32,10023749.0,10071824.0
33,10023749.0,10574994.0
34,10023749.0,10769391.0
35,10023749.0,10766745.0
36,10023749.0,11056849.0
37,10023749.0,10728347.0
38,10023749.0,11150370.0
39,10023749.0,10769395.0
40,10023749.0,10728315.0
41,10023749.0,10769391.0
42,10023749.0,10728688.0
43,10023749.0,10728511.0
44,10023749.0,10406053.0
45,10023970.0,10805476.0
46,10023970.0,10937514.0
47,10023970.0,10727930.0
48,10023970.0,10937514.0
49,10023970.0,11120644.0
50,10023970.0,11150374.0
51,10023970.0,10727977.0
52,10023970.0,10727999.0
53,10023970.0,10727930.0
54,10023970.0,10805476.0
55,10023970.0,10037717.0
56,10024232.0,10747826.0
57,10024232.0,10747828.0
58,10024232.0,11096322.0
59,10024232.0,10906194.0
60,10024232.0,10122093.0
61,10024232.0,10728533.0
62,10024232.0,10906194.0
63,10024232.0,10747826.0
64,10024232.0,10024260.0
65,10024232.0,10396064.0
66,10024232.0,10304707.0
67,10024232.0,10805953.0
68,10024232.0,10747828.0
69,10024232.0,20094331.0
70,10024232.0,10688017.0
71,10024244.0,10799770.0
72,10024244.0,10949168.0
73,10024244.0,11036818.0
74,10024244.0,10950227.0
75,10024244.0,20015324.0
76,10024244.0,11017425.0
77,10024244.0,10024260.0
78,10024244.0,10799770.0
