,Primary Item Number,Related Item Number
0,10298253,10802527.0
1,10298253,10301632.0
2,10298253,10735817.0
3,10298253,11136857.0
4,10298253,10735777.0
5,10298253,10301632.0
6,10298253,10802527.0
7,10298253,10302519.0
8,10298253,10735816.0
9,10298253,10735815.0
10,10298253,10735777.0
11,10298253,10735817.0
12,10298253,10299390.0
13,10298253,10755118.0
14,10298253,10735914.0
15,10299390,10298253.0
16,10299390,10735817.0
17,10299390,10735814.0
18,10299390,10735815.0
19,10299390,10735777.0
20,10299390,10298253.0
21,10299390,10735814.0
22,10299390,10735815.0
23,10299390,10735817.0
24,10299390,10735816.0
25,10299390,10735780.0
26,10299390,10301632.0
27,10299390,10735777.0
28,10299390,10911754.0
29,10299390,10735775.0
30,10301632,10298253.0
31,10301632,10802527.0
32,10301632,10735817.0
33,10301632,10302519.0
34,10301632,10735874.0
35,10301632,10298253.0
36,10301632,10802527.0
37,10301632,10302519.0
38,10301632,10735817.0
39,10301632,10766056.0
40,10301632,10735816.0
41,10301632,10735874.0
42,10301632,10735848.0
43,10301632,10735777.0
44,10301632,10735914.0
45,10302459,11136857.0
46,10302459,11136851.0
47,10302459,10802527.0
48,10302459,10735815.0
49,10302459,20015114.0
50,10302459,10735815.0
51,10302459,10802527.0
52,10302459,10735814.0
53,10302459,10872523.0
54,10302459,10735777.0
55,10302459,10913091.0
56,10302459,10298253.0
57,10302459,20015145.0
58,10302459,10735869.0
59,10302459,10735858.0
60,10302519,10298253.0
61,10302519,10301632.0
62,10302519,10802527.0
63,10302519,10299390.0
64,10302519,11136851.0
65,10302519,10298253.0
66,10302519,10301632.0
67,10302519,10802527.0
68,10302519,10299390.0
69,10302519,10735816.0
70,10302519,10735777.0
71,10302519,10735784.0
72,10302519,10727310.0
73,10302519,10990077.0
74,10302519,10735769.0
75,10727262,10755132.0
76,10727262,10735780.0
77,10727262,10755154.0
78,10727262,10735770.0
79,10727262,10872574.0
80,10727262,10735814.0
81,10727262,10755132.0
82,10727262,10727310.0
83,10727262,10735770.0
84,10727262,10735780.0
85,10727262,10727328.0
86,10727262,10298253.0
87,10727262,10735817.0
88,10727262,20017637.0
89,10727262,10988992.0
90,10727284,10735777.0
91,10727284,10735914.0
92,10727284,10735817.0
93,10727284,10735874.0
94,10727284,10735846.0
95,10727284,10735777.0
96,10727284,10727310.0
97,10727284,11107163.0
98,10727284,10735874.0
99,10727284,10735914.0
100,10727284,10735769.0
101,10727284,10735932.0
102,10727284,10911754.0
103,10727284,10735846.0
104,10727284,10735784.0
105,10727287,10735894.0
106,10727287,10735881.0
107,10727287,10735877.0
108,10727287,10735801.0
109,10727287,10735930.0
110,10727287,10735864.0
111,10727287,10735816.0
112,10727287,10756706.0
113,10727287,10735834.0
114,10727287,20015150.0
115,10727287,10735863.0
116,10727287,10735878.0
117,10727287,10735877.0
118,10727287,10735894.0
119,10727287,10745531.0
120,10727303,10735816.0
121,10727303,10735770.0
122,10727303,11120152.0
123,10727303,10990077.0
124,10727303,10735777.0
125,10727303,10735913.0
126,10727303,10735816.0
127,10727303,10735914.0
128,10727303,10845041.0
129,10727303,10755157.0
130,10727303,11120152.0
131,10727303,10735770.0
132,10727303,10735865.0
133,10727303,10947872.0
134,10727303,10735881.0
135,10727310,11136857.0
136,10727310,10735874.0
137,10727310,10735784.0
138,10727310,10735769.0
139,10727310,10755111.0
140,10727310,10727322.0
141,10727310,10735817.0
142,10727310,10735769.0
143,10727310,10727284.0
144,10727310,10735823.0
145,10727310,10735780.0
146,10727310,10735874.0
147,10727310,10727328.0
148,10727310,10735784.0
149,10727310,10735777.0
150,10727314,10766029.0
151,10727314,10766038.0
152,10727314,10735874.0
153,10727314,10735816.0
154,10727314,10735914.0
155,10727314,10735816.0
156,10727314,20015163.0
157,10727314,10735914.0
158,10727314,10735874.0
159,10727314,10727321.0
160,10727314,10735913.0
161,10727314,10766029.0
162,10727314,10735924.0
163,10727314,10727310.0
164,10727314,10988992.0
165,10727321,10735918.0
166,10727321,10766056.0
167,10727321,10735701.0
168,10727321,20015114.0
169,10727321,10988881.0
170,10727321,10727314.0
171,10727321,10727671.0
172,10727321,10727322.0
173,10727321,10735784.0
174,10727321,10735917.0
175,10727321,10735701.0
176,10727321,10766029.0
177,10727321,10735918.0
178,10727321,10766056.0
179,10727321,20015114.0
180,10727322,10735769.0
181,10727322,10735874.0
182,10727322,10911754.0
183,10727322,11136857.0
184,10727322,10735817.0
185,10727322,10735874.0
186,10727322,10735914.0
187,10727322,10735847.0
188,10727322,10911754.0
189,10727322,10755111.0
190,10727322,10735848.0
191,10727322,10735769.0
192,10727322,10735693.0
193,10727322,10735704.0
194,10727322,10735770.0
195,10727324,10735835.0
196,10727324,10735838.0
197,10727324,10766056.0
198,10727324,10913091.0
199,10727324,20015145.0
200,10727324,10727322.0
201,10727324,10735835.0
202,10727324,10735838.0
203,10727324,10766056.0
204,10727324,10913091.0
205,10727324,20015145.0
206,10727324,10735775.0
207,10727324,10735814.0
208,10727324,10735697.0
209,10727324,10911754.0
210,10727328,10735777.0
211,10727328,10735784.0
212,10727328,10735816.0
213,10727328,10735817.0
214,10727328,10735769.0
215,10727328,10727322.0
216,10727328,10735816.0
217,10727328,10735913.0
218,10727328,10735784.0
219,10727328,20017637.0
220,10727328,20017647.0
221,10727328,10735874.0
222,10727328,10735769.0
223,10727328,10735817.0
224,10727328,10735777.0
225,10727671,10735815.0
226,10727671,10735777.0
227,10727671,10990077.0
228,10727671,10735816.0
229,10727671,10913091.0
230,10727671,10727321.0
231,10727671,10735819.0
232,10727671,10990077.0
233,10727671,10735703.0
234,10727671,10735835.0
235,10727671,10735704.0
236,10727671,10735848.0
237,10727671,10911706.0
238,10727671,10735792.0
239,10727671,10735702.0
240,10734887,10735835.0
241,10734887,10735703.0
242,10734887,10735697.0
243,10734887,10735832.0
244,10734887,10735833.0
245,10734887,10735835.0
246,10734887,10735703.0
247,10734887,10911710.0
248,10734887,10735697.0
249,10734887,10735832.0
250,10734887,10735833.0
251,10734887,10755124.0
252,10734887,10735695.0
253,10734887,10911694.0
254,10734887,10735707.0
255,10734889,10735673.0
256,10734889,10735704.0
257,10734889,10735848.0
258,10734889,10735925.0
259,10734889,10735698.0
260,10734889,10735848.0
261,10734889,10735679.0
262,10734889,10735704.0
263,10734889,10735673.0
264,10734889,10735676.0
265,10734889,10734890.0
266,10734889,10735698.0
267,10734889,10735693.0
268,10734889,10913041.0
269,10734889,10735697.0
270,10734890,10735704.0
271,10734890,10735848.0
272,10734890,10735679.0
273,10734890,10735693.0
274,10734890,10735703.0
275,10734890,10735704.0
276,10734890,10735693.0
277,10734890,10735848.0
278,10734890,10735679.0
279,10734890,10734889.0
280,10734890,10735698.0
281,10734890,10735850.0
282,10734890,10735847.0
283,10734890,10735849.0
284,10734890,10735831.0
285,10735671,10735704.0
286,10735671,10735848.0
287,10735671,10735703.0
288,10735671,10735676.0
289,10735671,10735679.0
290,10735671,10735848.0
291,10735671,10735703.0
292,10735671,10735680.0
293,10735671,10735850.0
294,10735671,10735714.0
295,10735671,10735704.0
296,10735671,10735697.0
297,10735671,10735676.0
298,10735671,10735785.0
299,10735671,10735817.0
300,10735672,10735677.0
301,10735672,10735681.0
302,10735672,10735684.0
303,10735672,10755119.0
304,10735672,10755587.0
