,Primary Item Number,Related Item Number
0,10012415,10098323.0
1,10012415,10943252.0
2,10012415,10546160.0
3,10012415,10097190.0
4,10012415,10049812.0
5,10012415,10942870.0
6,10012415,10396065.0
7,10012415,10928677.0
8,10012415,10778416.0
9,10012415,10012427.0
10,10012415,10098323.0
11,10012415,10943252.0
12,10012415,10546160.0
13,10012415,10097190.0
14,10012415,10049812.0
15,10012416,10098323.0
16,10012416,10097190.0
17,10012416,10943252.0
18,10012416,10546160.0
19,10012416,10012724.0
20,10012416,10357365.0
21,10012416,20012592.0
22,10012416,10012427.0
23,10012416,11153332.0
24,10012416,11153329.0
25,10012416,10098323.0
26,10012416,10097190.0
27,10012416,10943252.0
28,10012416,10546160.0
29,10012416,10049812.0
30,10012418,20037330.0
31,10012418,20062456.0
32,10012418,10395151.0
33,10012418,20077538.0
34,10012418,10941576.0
35,10012418,10771735.0
36,10012418,10357365.0
37,10012418,10050648.0
38,10012418,10084953.0
39,10012418,10801559.0
40,10012418,20037330.0
41,10012418,20077538.0
42,10012418,20062456.0
43,10012418,10395151.0
44,10012418,20037334.0
45,10012422,10805288.0
46,10012422,20037330.0
47,10012422,10098323.0
48,10012422,10049812.0
49,10012422,10546160.0
50,10012422,10396065.0
51,10012422,10781406.0
52,10012422,10928677.0
53,10012422,20003479.0
54,10012422,10282034.0
55,10012422,10098323.0
56,10012422,10049812.0
57,10012422,10805288.0
58,10012422,10546160.0
59,10012422,10396065.0
60,10012427,10098323.0
61,10012427,10049812.0
62,10012427,10943252.0
63,10012427,10097190.0
64,10012427,10546160.0
65,10012427,10396065.0
66,10012427,10042733.0
67,10012427,10928677.0
68,10012427,10012416.0
69,10012427,10012415.0
70,10012427,10098323.0
71,10012427,10049812.0
72,10012427,10943252.0
73,10012427,10097190.0
74,10012427,10546160.0
75,10012428,10049675.0
76,10012428,10098323.0
77,10012428,10297281.0
78,10012428,10837578.0
79,10012428,10012724.0
80,10012428,10012416.0
81,10012428,20012592.0
82,10012428,10012415.0
83,10012428,10012427.0
84,10012428,10357365.0
85,10012428,10049675.0
86,10012428,10098323.0
87,10012428,10297281.0
88,10012428,10050907.0
89,10012428,20080888.0
90,10012628,10474720.0
91,10012628,10063260.0
92,10012628,10049547.0
93,10012628,10227691.0
94,10012628,10312246.0
95,10012628,10049674.0
96,10012628,10049683.0
97,10012628,10650665.0
98,10012628,10093052.0
99,10012628,11155231.0
100,10012628,10474720.0
101,10012628,10063260.0
102,10012628,10049547.0
103,10012628,10227691.0
104,10012628,10312246.0
105,10012665,20037330.0
106,10012665,10093052.0
107,10012665,10784609.0
108,10012665,10836809.0
109,10012665,10907476.0
110,10012665,11056861.0
111,10012665,10836805.0
112,10012665,20062386.0
113,10012665,10012415.0
114,10012665,20064066.0
115,10012665,10784609.0
116,10012665,20037330.0
117,10012665,10093052.0
118,10012665,20077538.0
119,10012665,10297281.0
120,10012712,10598675.0
121,10012712,10598703.0
122,10012712,10031381.0
123,10012712,11111560.0
124,10012712,10042222.0
125,10012712,10031380.0
126,10012712,10187543.0
127,10012712,10050907.0
128,10012712,10012628.0
129,10012712,20080888.0
130,10012712,10598675.0
131,10012712,10598703.0
132,10012712,10031381.0
133,10012712,11111560.0
134,10012712,10042222.0
135,10012724,10098323.0
136,10012724,10097190.0
137,10012724,10943252.0
138,10012724,10042733.0
139,10012724,10546160.0
140,10012724,10928677.0
141,10012724,10012416.0
142,10012724,10357365.0
143,10012724,20012592.0
144,10012724,10012427.0
145,10012724,10098323.0
146,10012724,10097190.0
147,10012724,10943252.0
148,10012724,10042733.0
