,Primary Item Number,Related Item Number
0,10298253,10301632.0
1,10298253,10802527.0
2,10298253,10302519.0
3,10298253,10735816.0
4,10298253,10735815.0
5,10298253,10735777.0
6,10298253,10735817.0
7,10298253,10299390.0
8,10298253,10755118.0
9,10298253,10735914.0
10,10298253,10301632.0
11,10298253,10802527.0
12,10298253,10302519.0
13,10298253,10735816.0
14,10298253,10735815.0
15,10299390,10298253.0
16,10299390,10735814.0
17,10299390,10735815.0
18,10299390,10735817.0
19,10299390,10735816.0
20,10299390,10735780.0
21,10299390,10301632.0
22,10299390,10735777.0
23,10299390,10911754.0
24,10299390,10735775.0
25,10299390,10298253.0
26,10299390,10735814.0
27,10299390,10735815.0
28,10299390,10735817.0
29,10299390,10735816.0
30,10301632,10298253.0
31,10301632,10802527.0
32,10301632,10302519.0
33,10301632,10735817.0
34,10301632,10766056.0
35,10301632,10735816.0
36,10301632,10735874.0
37,10301632,10735848.0
38,10301632,10735777.0
39,10301632,10735914.0
40,10301632,10298253.0
41,10301632,10802527.0
42,10301632,10302519.0
43,10301632,10735817.0
44,10301632,10766056.0
45,10302459,10735815.0
46,10302459,10802527.0
47,10302459,10735814.0
48,10302459,10872523.0
49,10302459,10735777.0
50,10302459,10913091.0
51,10302459,10298253.0
52,10302459,20015145.0
53,10302459,10735869.0
54,10302459,10735858.0
55,10302459,11136851.0
56,10302459,11136857.0
57,10302459,10735815.0
58,10302459,10802527.0
59,10302459,10735814.0
60,10302519,10298253.0
61,10302519,10301632.0
62,10302519,10802527.0
63,10302519,10299390.0
64,10302519,10735816.0
65,10302519,10735777.0
66,10302519,10735784.0
67,10302519,10990077.0
68,10302519,10735769.0
69,10302519,20015142.0
70,10302519,10298253.0
71,10302519,10301632.0
72,10302519,10802527.0
73,10302519,10299390.0
74,10302519,11136851.0
75,10727262,10735814.0
76,10727262,10755132.0
77,10727262,10735770.0
78,10727262,10735780.0
79,10727262,10298253.0
80,10727262,10735817.0
81,10727262,20017637.0
82,10727262,10988992.0
83,10727262,10301632.0
84,10727262,10727310.0
85,10727262,10735814.0
86,10727262,10755132.0
87,10727262,10735770.0
88,10727262,10735780.0
89,10727262,10298253.0
90,10727284,10735777.0
91,10727284,11107163.0
92,10727284,10735874.0
93,10727284,10735914.0
94,10727284,10735769.0
95,10727284,10735932.0
96,10727284,10911754.0
97,10727284,10735846.0
98,10727284,10735784.0
99,10727284,20015155.0
100,10727284,10735777.0
