Primary Item Number,Related Item Number
10298253,10301632.0
10298253,10802527.0
10298253,10302519.0
10298253,10735816.0
10298253,10735815.0
10299390,10298253.0
10299390,10735814.0
10299390,10735815.0
10299390,10735817.0
10299390,10735816.0
10301632,10298253.0
10301632,10802527.0
10301632,10302519.0
10301632,10735817.0
10301632,10766056.0
10302459,11136851.0
10302459,11136857.0
10302459,10735815.0
10302459,10802527.0
10302459,10735814.0
10302519,10298253.0
10302519,10301632.0
10302519,10802527.0
10302519,10299390.0
10302519,11136851.0
10727262,10735814.0
10727262,10755132.0
10727262,10735770.0
10727262,10735780.0
10727262,10298253.0
10727284,10735777.0
10727284,11107163.0
10727284,10735874.0
10727284,10735914.0
10727284,10735769.0
10727287,10735864.0
10727287,10735816.0
10727287,10756706.0
10727287,10735834.0
10727287,20015150.0
10727303,10735913.0
10727303,10735816.0
10727303,10735914.0
10727303,10845041.0
10727303,10755157.0
10727310,10735817.0
10727310,10735769.0
10727310,10735823.0
10727310,10735780.0
10727310,10735874.0
10727314,10735816.0
10727314,20015163.0
10727314,10735914.0
10727314,10735874.0
10727314,10735913.0
10727321,10735784.0
10727321,10735917.0
10727321,10735701.0
10727321,10766029.0
10727321,10735918.0
10727322,10735874.0
10727322,10735914.0
10727322,10735847.0
10727322,10911754.0
10727322,10755111.0
10727324,10735835.0
10727324,10735838.0
10727324,10766056.0
10727324,10913091.0
10727324,20015145.0
10727328,10735816.0
10727328,10735913.0
10727328,10735784.0
10727328,20017637.0
10727328,20017647.0
10727671,10735819.0
10727671,10990077.0
10727671,10735703.0
10727671,10735835.0
10727671,10735704.0
10734887,10735835.0
10734887,10735703.0
10734887,10911710.0
10734887,10735697.0
10734887,10735832.0
10734889,10735848.0
10734889,10735679.0
10734889,10735704.0
10734889,10735673.0
10734889,10735676.0
10734890,10735704.0
10734890,10735693.0
10734890,10735848.0
10734890,10735679.0
10734890,10734889.0
10735671,10735848.0
10735671,10735703.0
10735671,10735680.0
10735671,10735850.0
10735671,10735714.0
10735672,10735677.0
10735672,10735681.0
10735672,10735684.0
10735672,10755119.0
10735672,10755587.0
10735673,10735703.0
10735673,10735837.0
10735673,10735700.0
10735673,10734889.0
10735673,10755120.0
10735674,10735704.0
10735674,10735841.0
10735674,10735679.0
10735674,20066492.0
10735674,10735848.0
10735675,10735687.0
10735675,10735858.0
10735675,10735704.0
10735675,10735688.0
10735675,10911699.0
10735676,10735704.0
10735676,10735848.0
10735676,10735850.0
10735676,10735688.0
10735676,10735679.0
10735677,10735672.0
10735677,10735684.0
10735677,10735681.0
10735677,10755119.0
10735677,10755587.0
10735678,10735676.0
10735678,10735704.0
10735678,10735693.0
10735678,10735848.0
10735678,10735847.0
10735679,10735848.0
10735679,10735704.0
10735679,10735846.0
10735679,10735676.0
10735679,10735850.0
10735680,10735703.0
10735680,10735704.0
10735680,10735837.0
10735680,10735699.0
10735680,10735697.0
10735681,10735677.0
10735681,10735672.0
10735681,10755119.0
10735681,10735684.0
10735681,10755587.0
10735682,10735683.0
10735682,10735693.0
10735682,10735704.0
10735682,10735848.0
10735682,10735866.0
10735683,10735704.0
10735683,10735848.0
10735683,10735846.0
10735683,10735679.0
10735683,10735841.0
10735684,10735677.0
10735684,10755587.0
10735684,10735672.0
10735684,10755119.0
10735684,20015154.0
10735685,10735848.0
10735685,10911699.0
10735685,10735852.0
10735685,10735851.0
10735685,10735864.0
10735686,10735690.0
10735686,10913041.0
10735686,10735858.0
10735686,10735704.0
10735686,10735848.0
10735687,10735827.0
10735687,10735688.0
10735687,10735858.0
10735687,10911695.0
10735687,10735848.0
